01;1345;90;23;14;90;11;1505
02;2341;23;89;78;890;12;1295
03;567;1;45;12;24;26;2595
04;9;12;67;189;12;90;9995
02;345;56;45;12;24;26;7805
03;30;20;12;90;69;122;1505
01;47;456;145;235;90;89;4255
04;22;301;24;345;920;246;7515
04;763;953;20;689;12;90;1665
02;123;12876;12;90;67;189;1895
01;4;1925;89;567;69;122;1285
03;52;89;89;567;24;345;8995
04;30;1042;89;567;24;345;8875
04;8;753;67;189;12;90;1595
01;75;987;12;90;69;122;1505
01;4567;221;145;246;90;89;4255
01;120;17;45;12;24;26;2665
04;431;14;89;78;69;122;1295
01;2341;145;246;90;89;4255
01;68;75;145;246;90;89;4255
